symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
KEY,15.93,2,"12,603,244",true,15.93,15.81,Price ($15.93) is above the 20-day EMA ($15.81),false,15.93,16.17,Price ($15.93) is below the 100-day EMA ($16.17),false,51.5,50.0,RSI (51.5) is above the threshold (50),true,15.93,15.86,Current price ($15.93) is above last week's close ($15.86),false,0.37,0.35,3-day ATR (0.37) is higher than 6-day ATR (0.35),2025-06-04T19:39:09,0
SRE,76.94,2,"3,493,598",true,76.94,76.84,Price ($76.94) is above the 20-day EMA ($76.84),false,76.94,77.15,Price ($76.94) is below the 100-day EMA ($77.15),false,52.3,50.0,RSI (52.3) is above the threshold (50),false,76.94,78.59,Current price ($76.94) is below last week's close ($78.59),true,1.12,1.31,3-day ATR (1.12) is lower than 6-day ATR (1.31),2025-06-04T19:32:12,0
PAYX,159.37,4,"1,341,612",true,159.37,155.40,Price ($159.37) is above the 20-day EMA ($155.40),true,159.37,149.24,Price ($159.37) is above the 100-day EMA ($149.24),false,66.0,50.0,RSI (66.0) is above the threshold (50),true,159.37,157.91,Current price ($159.37) is above last week's close ($157.91),true,2.10,2.10,3-day ATR (2.10) is lower than 6-day ATR (2.11),2025-06-04T19:32:20,0
JNPR,35.97,3,"2,114,370",false,35.97,35.99,Price ($35.97) is below the 20-day EMA ($35.99),false,35.97,35.98,Price ($35.97) is below the 100-day EMA ($35.98),true,47.9,50.0,RSI (47.9) is below the threshold (50),true,35.97,35.93,Current price ($35.97) is above last week's close ($35.93),true,0.21,0.22,3-day ATR (0.21) is lower than 6-day ATR (0.22),2025-06-04T19:39:23,0
CF,91.72,3,"2,266,424",true,91.72,88.09,Price ($91.72) is above the 20-day EMA ($88.09),true,91.72,83.27,Price ($91.72) is above the 100-day EMA ($83.27),false,63.6,50.0,RSI (63.7) is above the threshold (50),true,91.72,90.71,Current price ($91.72) is above last week's close ($90.71),false,2.39,2.07,3-day ATR (2.39) is higher than 6-day ATR (2.07),2025-06-04T19:39:31,0
COO,67.84,2,"3,380,941",false,67.84,76.36,Price ($67.84) is below the 20-day EMA ($76.36),false,67.84,83.71,Price ($67.84) is below the 100-day EMA ($83.71),true,22.9,50.0,RSI (22.9) is below the threshold (50),false,67.84,68.28,Current price ($67.84) is below last week's close ($68.28),true,2.51,4.04,3-day ATR (2.51) is lower than 6-day ATR (4.04),2025-06-04T19:39:38,0
HSIC,70.59,4,"1,822,481",true,70.59,70.43,Price ($70.59) is above the 20-day EMA ($70.43),true,70.59,70.48,Price ($70.59) is above the 100-day EMA ($70.48),false,51.1,50.0,RSI (51.1) is above the threshold (50),true,70.59,69.99,Current price ($70.59) is above last week's close ($69.99),true,1.58,1.98,3-day ATR (1.58) is lower than 6-day ATR (1.98),2025-06-04T19:39:42,0
DECK,106.30,3,"6,010,170",false,106.30,112.98,Price ($106.30) is below the 20-day EMA ($112.98),false,106.30,132.89,Price ($106.30) is below the 100-day EMA ($132.89),true,40.4,50.0,RSI (40.4) is below the threshold (50),true,106.30,105.52,Current price ($106.30) is above last week's close ($105.52),true,2.54,3.40,3-day ATR (2.54) is lower than 6-day ATR (3.40),2025-06-04T19:39:45,0
TAP,52.81,1,"2,593,817",false,52.81,54.70,Price ($52.81) is below the 20-day EMA ($54.70),false,52.81,57.56,Price ($52.81) is below the 100-day EMA ($57.56),true,36.9,50.0,RSI (36.9) is below the threshold (50),false,52.81,53.59,Current price ($52.81) is below last week's close ($53.59),false,1.18,1.16,3-day ATR (1.18) is higher than 6-day ATR (1.16),2025-06-04T19:39:50,0
IPG,23.05,1,"9,500,664",false,23.05,24.24,Price ($23.05) is below the 20-day EMA ($24.24),false,23.05,25.76,Price ($23.05) is below the 100-day EMA ($25.76),true,35.5,50.0,RSI (35.5) is below the threshold (50),false,23.05,23.96,Current price ($23.05) is below last week's close ($23.96),false,0.72,0.61,3-day ATR (0.72) is higher than 6-day ATR (0.61),2025-06-04T19:39:51,0
