symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
IBM,265.92,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:43,0
CVX,137.24,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:50,0
LIN,471.29,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:54,0
T,27.68,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:03,0
RTX,138.75,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:06,0
PEP,130.75,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:10,0
TXN,192.17,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:19,0
SPGI,515.53,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:20,0
AMGN,289.28,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:24,0
TMO,401.22,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:31,0
NEE,70.14,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:35,0
DE,509.75,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:39,0
DHR,192.40,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:46,0
YUM,142.73,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:43,0
ED,101.84,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:49,0
PCG,15.90,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:55,0
CAH,154.31,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:01,0
RMD,249.74,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:08,0
VMC,263.68,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:16,0
TRGP,161.75,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:25,0
HSY,162.00,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:30,0
STZ,172.21,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:38,0
XYL,125.97,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:44,0
REG,70.75,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:17,0
INCY,67.56,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:20,0
DOC,16.96,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:31,0
TAP,51.70,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:43,0
PNW,89.23,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:44,0
MA,584.90,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:09,0
XOM,102.02,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:12,0
RVTY,91.16,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:50,0
JNJ,153.50,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:21,0
ABBV,187.74,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:24,0
PM,182.16,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:31,0
CSCO,64.57,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:37,0
SWKS,71.01,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:56,0
SWK,65.41,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:07,0
HAS,65.96,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:10,0
LW,54.76,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:18,0
NRG,156.65,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:49,0
MTB,178.93,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:53,0
DTE,132.48,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:01,0
WFC,74.51,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:41,0
ABT,132.63,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:49,0
MCD,310.11,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:52,0
NOW,1022.75,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:45:56,0
MRK,78.10,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:06,0
VZ,43.23,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:07,0
PGR,280.37,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:14,0
SCHW,87.35,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:19,0
BSX,102.45,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:21,0
SYK,384.26,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:30,0
HON,227.10,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:32,0
TJX,126.89,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:36,0
GILD,111.00,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:46,0
HUM,231.88,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:11,0
AWK,139.14,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:16,0
KEYS,159.62,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:24,0
GDDY,180.76,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:31,0
FITB,38.15,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:40,0
ATO,152.34,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:48,0
CHD,99.53,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:58,0
FTV,71.81,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:03,0
FOX,50.05,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:18,0
SW,42.90,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:25,0
AMCR,9.03,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:36,0
TSN,55.27,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:46,0
UNP,220.40,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:52,0
PFE,23.32,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:54,0
CMCSA,34.41,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:59,0
LOW,228.10,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:07,0
CB,289.65,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:14,0
GIS,54.47,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:50,0
IRM,99.83,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:56,0
MMC,228.07,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:18,0
